wall_time,ros_time_sec,event,mode,stable_gesture,nav_lin_x,nav_ang_z,out_lin_x,out_ang_z
2026-04-27T20:13:22,1777335202.839,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:13:53,1777335233.283,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:13:53,1777335233.433,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:13:54,1777335234.333,speed_limit,IDLE,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:13:54,1777335234.732,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:14:01,1777335241.432,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:14:03,1777335243.883,pass_nav,NAV,OpenPalm,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:14:06,1777335246.482,correct_left,NAV,PointLeft,0.0000,0.0000,0.0000,0.3500
2026-04-27T20:14:10,1777335250.183,correct_right,NAV,PointRight,0.0000,0.0000,0.0000,-0.3500
2026-04-27T20:14:14,1777335254.382,speed_limit,NAV,ThumbUp,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:14:28,1777335268.131,estop_fist,IDLE,Fist,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:14:31,1777335271.083,pass_nav,IDLE,None,0.0000,0.0000,0.0000,0.0000
2026-04-27T20:15:03,1777335303.483,estop_fist,IDLE,Fist,0.2200,-0.2308,0.0000,0.0000
2026-04-27T20:15:06,1777335306.084,pass_nav,NAV,OpenPalm,0.2084,-0.0769,0.2084,-0.0769
2026-04-27T20:15:07,1777335307.433,correct_left,NAV,PointLeft,0.2200,-0.1795,0.2200,0.1705
2026-04-27T20:15:12,1777335312.732,correct_right,NAV,PointRight,0.2200,-0.0769,0.2200,-0.4269
2026-04-27T20:15:14,1777335314.932,correct_left,NAV,PointLeft,0.2200,0.0256,0.2200,0.3756
2026-04-27T20:15:17,1777335317.032,estop_fist,IDLE,Fist,0.2200,-0.1282,0.0000,0.0000
2026-04-27T20:15:17,1777335317.883,speed_limit,IDLE,ThumbUp,0.2200,-0.1282,0.0990,-0.0577
2026-04-27T20:15:18,1777335318.033,pass_nav,IDLE,OpenPalm,0.2200,-0.1282,0.2200,-0.1282
2026-04-27T20:15:54,1777335354.533,estop_fist,IDLE,Fist,0.1968,0.0256,0.0000,0.0000
2026-04-27T20:15:56,1777335356.132,correct_right,IDLE,PointRight,0.1968,0.0256,0.1968,-0.3244
2026-04-27T20:15:58,1777335358.433,speed_limit,IDLE,ThumbUp,0.2200,0.2821,0.0990,0.1269
2026-04-27T20:15:58,1777335358.532,estop_fist,IDLE,Fist,0.2084,0.3846,0.0000,0.0000
